CustomerID,Age,Gender,CityTier,TenureMonths,PreferredCategory,SatisfactionScore,OrderCount,TotalSpend,DaysSinceLastOrder,Complain,CashbackAmount,ChurnStatus
CUST-1057,64,Male,1,52,Fashion,4,15,1860.11,31,1,300.84,0
CUST-1058,24,Male,1,24,Home & Kitchen,5,8,492.21,30,0,440.81,0
CUST-1059,61,Male,2,25,Fashion,3,5,629.66,2,1,425.49,0
CUST-1060,25,Female,1,45,Fashion,5,20,2424.87,10,0,424.85,0
CUST-1061,64,Male,1,55,Electronics,1,32,658.02,29,1,364.18,1
CUST-1062,52,Female,2,46,Electronics,1,22,1946.42,1,1,181.14,0
CUST-1063,31,Male,2,32,Electronics,4,14,1285.1,10,0,201.27,0
CUST-1064,34,Female,1,55,Fashion,1,29,3786.35,9,0,188.81,0
CUST-1065,53,Female,3,32,Electronics,3,19,1778.24,10,0,59.02,0
CUST-1066,67,Male,1,5,Beauty & Care,4,5,634.06,26,1,312.16,0
CUST-1067,57,Male,3,36,Electronics,3,23,1416.26,30,1,364.48,0
CUST-1068,21,Female,2,46,Electronics,2,15,555.88,83,0,434.24,1
CUST-1069,19,Female,2,42,Fashion,2,26,1704.69,17,0,113.07,0
CUST-1070,23,Male,2,49,Home & Kitchen,3,22,2910.81,91,0,294.88,0
CUST-1071,59,Female,3,42,Electronics,3,18,2030.0,36,1,53.6,0
CUST-1072,21,Female,1,58,Electronics,4,20,3093.48,85,0,92.79,0
CUST-1073,46,Female,2,39,Books & Media,4,13,542.1,62,1,74.4,1
CUST-1074,35,Male,1,16,Electronics,3,7,813.68,40,0,376.47,1
CUST-1075,43,Female,1,33,Electronics,4,13,1399.4,15,0,86.48,0
CUST-1076,61,Male,1,49,Beauty & Care,1,20,1528.81,9,0,372.4,0
CUST-1077,51,Female,3,21,Electronics,2,6,649.67,8,0,162.33,0
CUST-1078,27,Male,3,9,Fashion,4,2,178.4,106,0,444.97,1
CUST-1079,53,Male,1,6,Fashion,3,3,296.43,111,0,415.92,1
CUST-1080,31,Male,1,51,Electronics,5,26,2740.83,45,0,481.02,0
CUST-1081,48,Female,2,45,Electronics,3,22,2516.87,75,0,447.69,0
CUST-1082,65,Male,1,35,Electronics,4,19,1664.48,87,0,470.0,1
CUST-1083,32,Male,1,39,Electronics,3,19,2628.08,25,0,436.43,0
CUST-1084,25,Male,2,22,Electronics,3,9,706.75,34,1,362.02,0
CUST-1085,31,Female,2,41,Home & Kitchen,3,17,2405.72,18,0,126.62,0
CUST-1086,40,Female,3,54,Fashion,4,16,818.63,18,1,172.27,0
CUST-1087,57,Male,1,5,Fashion,3,2,110.9,1,0,145.73,0
CUST-1088,38,Female,1,42,Beauty & Care,5,21,1201.3,19,0,321.61,0
CUST-1089,33,Female,2,23,Home & Kitchen,2,6,682.23,39,0,276.63,1
CUST-1090,62,Female,2,17,Electronics,1,12,730.03,19,0,440.19,1
CUST-1091,35,Male,2,12,Books & Media,3,10,1297.04,72,0,478.7,1
CUST-1092,64,Male,2,23,Electronics,4,8,553.65,14,0,232.19,0
CUST-1093,41,Male,1,16,Electronics,5,10,969.79,4,0,277.86,0
CUST-1094,43,Male,3,3,Home & Kitchen,3,6,625.22,58,0,487.18,1
CUST-1095,42,Male,1,30,Fashion,4,16,872.44,39,0,174.31,0
CUST-1096,62,Female,1,57,Fashion,3,24,1038.64,9,0,406.58,0
CUST-1097,58,Male,2,22,Electronics,4,13,1215.32,26,0,151.36,0
CUST-1098,46,Male,1,9,Fashion,5,6,460.1,17,0,356.66,0
CUST-1099,32,Female,1,29,Electronics,2,14,1399.35,97,0,164.13,1
CUST-1100,62,Male,3,47,Beauty & Care,3,19,847.97,32,0,447.68,0
CUST-1101,18,Female,2,37,Electronics,5,11,817.27,6,0,302.67,0
CUST-1102,42,Female,2,23,Beauty & Care,5,17,1352.26,24,1,133.67,0
CUST-1103,24,Male,1,13,Fashion,3,9,180.0,69,1,150.97,1
CUST-1104,26,Female,2,32,Beauty & Care,3,15,1722.96,38,0,272.23,0
CUST-1105,41,Female,1,46,Home & Kitchen,2,26,1619.2,64,0,482.72,1
CUST-1106,18,Female,1,52,Home & Kitchen,3,28,3639.3,10,0,396.34,0
CUST-1107,61,Female,3,47,Electronics,4,15,963.23,76,0,269.74,0
CUST-1108,25,Female,2,48,Electronics,4,18,1248.48,49,0,201.97,0
CUST-1109,41,Female,2,23,Electronics,2,12,572.91,45,0,297.17,0
CUST-1110,28,Male,1,45,Beauty & Care,2,20,2387.97,14,0,386.76,0
CUST-1111,68,Male,3,17,Beauty & Care,2,14,1380.75,76,0,402.77,1
CUST-1112,34,Male,2,55,Fashion,2,17,2159.07,35,0,196.07,0
CUST-1113,25,Female,2,40,Electronics,1,16,1260.47,66,0,374.52,1
CUST-1114,52,Male,2,21,Fashion,3,12,1004.98,15,0,346.0,0
CUST-1115,52,Female,1,2,Fashion,1,5,172.7,5,0,481.6,0
CUST-1116,50,Female,1,37,Fashion,2,21,1391.85,14,0,468.99,0
CUST-1117,22,Female,2,6,Home & Kitchen,3,5,450.57,21,0,405.22,0
CUST-1118,59,Female,1,44,Books & Media,2,23,2222.17,26,0,375.53,0
CUST-1119,56,Female,1,18,Electronics,1,11,1536.9,25,0,173.32,1
CUST-1120,58,Female,3,30,Fashion,3,13,383.13,27,0,430.68,0
CUST-1121,45,Male,2,22,Fashion,2,6,551.3,64,1,242.38,1
CUST-1122,24,Female,2,54,Electronics,3,30,2211.39,6,0,172.51,0
CUST-1123,26,Male,2,33,Electronics,1,15,1308.98,13,1,222.87,1
CUST-1124,25,Male,2,30,Electronics,4,18,1585.47,76,0,426.17,0
CUST-1125,29,Female,1,17,Beauty & Care,5,9,713.38,28,0,116.88,0
CUST-1126,51,Female,1,43,Fashion,4,16,816.11,30,0,255.27,0
CUST-1127,50,Male,1,32,Fashion,3,19,863.3,22,0,271.56,0
CUST-1128,65,Female,1,42,Beauty & Care,5,20,1541.05,27,0,66.48,0
CUST-1129,40,Female,2,51,Home & Kitchen,4,24,1017.16,7,0,138.09,0
CUST-1130,41,Female,1,14,Electronics,1,14,1142.58,27,0,422.03,0
CUST-1131,54,Female,2,58,Fashion,3,26,2012.37,180,1,423.85,1
CUST-1132,52,Female,1,10,Fashion,5,6,120.0,29,0,181.59,0
CUST-1133,61,Other,1,47,Home & Kitchen,3,16,2288.13,1,0,443.7,0
CUST-1134,57,Female,1,60,Home & Kitchen,1,25,2182.94,55,0,397.3,0
CUST-1135,39,Female,1,51,Home & Kitchen,4,27,540.0,17,0,238.06,0
CUST-1136,44,Female,1,36,Electronics,4,18,1663.45,5,1,386.78,0
CUST-1137,52,Female,1,34,Beauty & Care,2,17,1341.27,69,1,482.6,1
CUST-1138,18,Male,1,9,Electronics,3,5,227.34,7,1,256.54,1
CUST-1139,52,Male,2,42,Electronics,2,27,2545.54,88,0,157.29,0
CUST-1140,54,Male,1,28,Electronics,4,10,567.35,20,0,473.82,0
CUST-1141,64,Male,1,11,Electronics,2,5,453.95,47,0,321.68,1
CUST-1142,31,Female,2,14,Electronics,3,7,447.68,27,1,97.37,1
CUST-1143,20,Female,1,39,Beauty & Care,4,8,462.66,10,0,307.71,0
CUST-1144,18,Female,3,55,Books & Media,3,18,1521.61,38,0,275.26,0
CUST-1145,22,Male,2,47,Electronics,4,23,835.76,110,0,435.02,0
CUST-1146,43,Female,1,54,Electronics,3,29,2393.19,51,0,288.81,0
CUST-1147,31,Female,2,19,Electronics,2,11,1151.89,32,0,164.85,0
CUST-1148,56,Female,1,54,Electronics,4,24,2954.84,163,0,354.04,0
CUST-1149,44,Female,2,15,Electronics,2,7,823.6,10,1,294.16,1
CUST-1150,26,Female,1,28,Books & Media,3,15,1884.0,2,1,154.87,0
CUST-1151,32,Male,3,24,Electronics,2,10,713.59,1,0,308.13,0
CUST-1152,32,Female,1,8,Fashion,4,7,379.83,43,0,419.69,1
CUST-1153,43,Male,2,43,Electronics,5,19,2079.75,62,1,62.86,0
CUST-1154,59,Male,2,9,Beauty & Care,5,3,208.48,35,1,333.88,1
CUST-1155,30,Female,1,47,Home & Kitchen,3,24,2044.51,82,0,207.31,0
CUST-1156,68,Male,1,33,Books & Media,2,10,1074.06,41,0,181.7,0
CUST-1157,49,Female,2,33,Home & Kitchen,3,13,1893.23,16,0,226.66,0
CUST-1158,56,Male,3,19,Electronics,4,6,605.18,6,1,203.91,1
CUST-1159,66,Female,1,3,Electronics,2,2,182.31,90,0,424.51,1
CUST-1160,69,Male,2,10,Home & Kitchen,5,10,513.67,3,0,173.66,0
CUST-1161,49,Female,3,40,Fashion,3,22,2641.77,27,0,379.92,0
CUST-1162,21,Female,3,47,Fashion,5,18,1750.67,13,1,92.33,0
CUST-1163,47,Male,1,42,Electronics,4,22,1640.89,11,0,478.13,0
CUST-1164,54,Female,2,1,Electronics,4,3,214.46,36,0,330.04,0
CUST-1165,40,Other,1,29,Fashion,3,16,1164.71,9,0,368.02,0
CUST-1166,56,Male,3,50,Fashion,1,18,1553.74,86,0,184.12,1
CUST-1167,62,Male,2,34,Home & Kitchen,3,17,700.91,18,0,235.44,0
CUST-1168,32,Female,1,51,Electronics,3,23,2795.44,39,0,150.7,0
CUST-1169,60,Female,2,13,Fashion,1,14,1624.56,45,0,469.64,0
CUST-1170,46,Female,1,54,Electronics,3,24,1919.41,40,1,269.65,0
CUST-1171,53,Female,3,1,Electronics,3,1,72.86,81,0,333.7,1
CUST-1172,30,Male,3,34,Fashion,4,19,1601.79,9,0,380.42,0
CUST-1173,49,Male,2,29,Electronics,4,12,1072.76,3,0,217.0,0
CUST-1174,24,Female,1,48,Electronics,2,16,1215.95,1,0,374.05,0
CUST-1175,68,Male,2,47,Electronics,5,21,2414.42,73,0,354.2,0
CUST-1176,39,Male,1,13,Electronics,2,11,465.04,126,1,367.55,1
CUST-1177,45,Female,1,48,Electronics,3,23,1463.76,12,0,270.15,0
CUST-1178,19,Female,3,49,Electronics,3,27,2922.95,41,0,222.32,0
CUST-1179,59,Female,1,53,Electronics,4,31,2936.58,1,1,149.94,0
CUST-1180,62,Female,1,29,Electronics,1,12,775.37,7,0,421.08,0
CUST-1181,23,Female,3,39,Fashion,3,18,1746.25,40,1,323.76,1
CUST-1182,45,Female,1,24,Electronics,4,10,612.11,2,0,249.96,0
CUST-1183,45,Female,1,26,Electronics,2,8,605.57,22,0,474.8,0
CUST-1184,61,Male,3,17,Electronics,4,12,1395.74,38,0,71.53,0
CUST-1185,61,Male,1,7,Home & Kitchen,5,6,677.96,50,0,432.58,0
CUST-1186,37,Female,2,13,Beauty & Care,5,5,468.24,21,0,498.91,0
CUST-1187,47,Female,3,5,Home & Kitchen,1,3,160.4,34,0,449.12,1
CUST-1188,28,Male,3,26,Home & Kitchen,2,14,1031.38,27,0,414.7,0
CUST-1189,45,Male,2,49,Fashion,3,23,2021.56,1,1,218.44,0
CUST-1190,42,Male,1,3,Home & Kitchen,3,2,257.33,47,0,154.09,1
CUST-1191,56,Male,1,7,Fashion,2,4,126.12,6,1,380.68,1
CUST-1192,50,Female,3,58,Electronics,2,28,1647.4,1,0,187.06,0
CUST-1193,18,Male,3,49,Electronics,5,26,3090.31,20,0,129.22,0
CUST-1194,44,Female,2,39,Electronics,5,15,1887.08,70,1,403.94,0
CUST-1195,69,Female,1,53,Beauty & Care,1,24,1989.81,5,0,190.64,0
CUST-1196,30,Female,1,1,Fashion,3,1,131.15,1,1,461.5,0
CUST-1197,58,Female,1,49,Home & Kitchen,3,18,1133.98,4,0,428.28,0
CUST-1198,20,Male,2,17,Electronics,2,6,238.34,15,0,431.44,0
CUST-1199,56,Female,1,43,Fashion,4,17,1848.02,30,0,397.21,0
CUST-1200,23,Male,3,25,Electronics,4,6,743.05,7,0,446.4,0
CUST-1201,25,Male,2,59,Electronics,5,15,1850.11,56,0,412.59,0
CUST-1202,44,Female,1,3,Beauty & Care,4,2,118.19,48,0,321.13,1
CUST-1203,26,Male,2,15,Fashion,3,7,636.87,41,0,183.12,0
CUST-1204,54,Male,1,29,Electronics,4,10,1101.95,23,0,449.69,0
CUST-1205,50,Female,2,53,Beauty & Care,2,25,2350.73,15,0,428.27,0
CUST-1206,68,Male,2,43,Electronics,3,10,1283.91,16,0,262.8,0
CUST-1207,59,Female,3,32,Books & Media,3,22,1602.67,24,0,67.59,0
CUST-1208,61,Male,3,26,Electronics,2,10,828.82,2,1,337.34,0
CUST-1209,41,Female,1,60,Electronics,2,29,2670.49,40,0,72.77,0
CUST-1210,32,Female,1,16,Electronics,2,6,659.86,15,0,466.83,0
CUST-1211,49,Female,2,25,Electronics,5,13,1029.16,8,1,482.73,0
CUST-1212,49,Female,1,54,Electronics,2,17,1917.99,11,0,135.27,0
CUST-1213,41,Male,1,28,Home & Kitchen,2,11,1464.53,6,1,354.38,1
CUST-1214,58,Female,1,9,Beauty & Care,3,6,416.75,81,0,91.52,1
CUST-1215,69,Male,2,56,Home & Kitchen,4,27,2161.63,6,0,378.28,0
CUST-1216,66,Female,1,56,Electronics,1,24,2736.79,75,0,206.28,0
CUST-1217,66,Male,2,1,Fashion,5,3,428.48,29,0,356.47,0
CUST-1218,69,Female,3,29,Electronics,5,18,1873.42,70,0,217.79,0
CUST-1219,29,Male,1,57,Electronics,3,28,1719.56,22,0,115.51,0
CUST-1220,56,Female,1,22,Home & Kitchen,4,7,636.62,91,1,232.75,1
CUST-1221,19,Female,1,16,Fashion,1,8,910.45,8,0,100.7,0
CUST-1222,20,Female,3,41,Electronics,3,22,1333.7,28,0,309.6,0
CUST-1223,66,Male,1,51,Electronics,4,14,737.08,4,0,68.43,0
CUST-1224,54,Female,1,44,Books & Media,1,19,1418.36,20,0,287.29,0
CUST-1225,66,Male,1,51,Electronics,2,24,2514.94,29,0,448.87,0
CUST-1226,34,Male,2,54,Fashion,3,27,1185.94,32,0,427.04,0
CUST-1227,66,Male,1,41,Fashion,2,23,1476.78,15,0,447.25,0
CUST-1228,19,Male,2,7,Electronics,5,3,279.63,2,0,464.92,0
CUST-1229,19,Female,3,14,Electronics,2,7,824.01,37,0,97.04,0
CUST-1230,45,Female,1,29,Fashion,4,9,843.36,23,1,107.94,0
CUST-1231,40,Male,3,19,Home & Kitchen,3,10,962.41,5,1,300.65,0
CUST-1232,54,Male,1,19,Fashion,4,9,1036.33,96,0,452.29,0
CUST-1233,49,Male,3,2,Home & Kitchen,3,1,132.92,109,0,488.46,1
CUST-1234,50,Male,2,41,Books & Media,3,20,2591.31,67,0,70.82,0
CUST-1235,18,Female,3,45,Home & Kitchen,5,21,498.94,64,0,210.1,0
CUST-1236,36,Male,1,15,Fashion,3,5,439.71,3,0,145.8,0
CUST-1237,19,Male,1,3,Fashion,3,4,449.5,175,0,390.18,1
CUST-1238,61,Male,1,11,Fashion,3,7,951.96,17,1,338.09,1
CUST-1239,43,Female,1,53,Home & Kitchen,4,29,3022.66,6,0,103.95,0
CUST-1240,49,Female,1,46,Fashion,3,17,1006.81,58,0,267.58,0
CUST-1241,23,Female,1,30,Home & Kitchen,5,16,1011.03,8,0,358.45,0
CUST-1242,49,Female,1,57,Electronics,2,24,1536.7,26,0,400.55,0
CUST-1243,21,Female,1,40,Fashion,3,18,1696.06,4,0,59.02,0
CUST-1244,28,Male,3,18,Electronics,4,8,564.84,22,0,450.71,0
CUST-1245,34,Female,2,51,Electronics,4,33,660.0,28,0,306.18,0
CUST-1246,55,Female,1,48,Electronics,5,19,943.38,20,0,415.36,0
CUST-1247,41,Female,1,2,Fashion,5,2,143.35,2,0,413.57,0
CUST-1248,22,Female,1,32,Fashion,3,15,661.88,23,0,135.43,0
CUST-1249,69,Female,3,8,Electronics,1,6,291.56,22,0,99.58,0
CUST-1250,51,Female,1,22,Fashion,1,16,2344.47,10,0,374.58,0
CUST-1251,23,Other,2,6,Fashion,4,1,84.74,89,0,120.39,1
CUST-1252,39,Female,3,12,Electronics,5,7,513.92,18,1,432.47,0
CUST-1253,28,Female,3,47,Home & Kitchen,2,17,1785.35,69,0,376.79,0
CUST-1254,65,Female,2,57,Home & Kitchen,2,31,3700.84,4,1,428.82,0
CUST-1255,33,Male,3,40,Home & Kitchen,1,17,2587.71,13,1,184.56,0
CUST-1256,50,Female,3,36,Fashion,4,19,2587.06,6,0,192.47,0
CUST-1257,26,Male,2,15,Fashion,3,10,980.44,18,0,352.05,0
CUST-1258,23,Female,2,28,Electronics,3,17,663.27,4,1,64.15,0
CUST-1259,33,Other,2,52,Electronics,3,20,1098.51,20,0,376.92,0
CUST-1260,46,Female,2,57,Electronics,4,21,1531.83,15,0,426.1,0
CUST-1261,20,Male,2,49,Books & Media,4,29,2905.71,8,1,236.82,0
CUST-1262,37,Male,1,45,Electronics,4,24,2107.91,35,0,394.2,0
CUST-1263,53,Male,1,18,Electronics,2,9,367.28,105,0,128.57,1
CUST-1264,36,Female,1,2,Beauty & Care,3,5,177.24,8,0,195.02,0
CUST-1265,43,Male,1,13,Books & Media,4,9,834.93,43,1,488.44,1
CUST-1266,20,Male,1,45,Home & Kitchen,5,19,1683.42,47,0,493.85,0
CUST-1267,36,Male,1,54,Electronics,2,22,1731.48,24,0,280.67,0
CUST-1268,37,Female,2,15,Electronics,1,9,895.39,79,0,470.42,1
CUST-1269,49,Female,1,20,Fashion,1,12,1468.85,118,0,285.23,1
CUST-1270,24,Male,3,29,Electronics,3,20,1886.04,15,0,181.21,0
CUST-1271,69,Male,1,59,Electronics,4,39,2213.27,36,0,170.1,0
CUST-1272,58,Female,1,42,Fashion,1,18,2564.22,37,0,468.28,0
CUST-1273,50,Female,2,29,Books & Media,3,8,637.69,18,0,127.6,0
CUST-1274,57,Female,2,3,Electronics,3,4,346.0,13,0,310.83,0
CUST-1275,56,Male,1,19,Home & Kitchen,1,12,784.68,94,0,299.99,1
CUST-1276,35,Female,3,3,Home & Kitchen,3,3,158.3,54,1,382.83,1
CUST-1277,57,Female,3,54,Electronics,2,23,1269.83,4,0,274.66,0
CUST-1278,18,Female,1,14,Home & Kitchen,3,7,340.31,4,0,172.53,0
CUST-1279,28,Female,1,40,Electronics,4,13,260.0,89,0,126.23,0
CUST-1280,45,Male,3,59,Electronics,3,26,2088.12,2,1,329.37,0
CUST-1281,42,Male,2,55,Home & Kitchen,2,17,2007.2,40,0,373.55,0
CUST-1282,67,Female,2,4,Electronics,5,4,221.88,9,0,306.28,0
CUST-1283,40,Female,3,59,Books & Media,4,29,4691.75,1,0,382.26,0
CUST-1284,48,Female,1,60,Electronics,4,28,3544.56,2,0,113.68,0
CUST-1285,47,Female,1,52,Fashion,1,27,2280.24,16,0,447.11,0
CUST-1286,59,Female,1,11,Fashion,1,12,620.01,2,0,312.08,0
CUST-1287,52,Female,2,58,Electronics,1,16,593.39,31,0,107.08,0
CUST-1288,24,Male,2,31,Electronics,2,16,1305.43,36,1,257.87,1
CUST-1289,33,Female,2,43,Fashion,3,17,1479.74,16,0,430.16,0
CUST-1290,43,Male,1,32,Beauty & Care,5,12,946.42,47,0,453.9,0
CUST-1291,65,Male,1,27,Beauty & Care,3,17,1990.35,23,0,169.09,0
CUST-1292,69,Other,2,30,Fashion,2,10,1299.12,19,1,370.07,0
CUST-1293,66,Male,2,43,Home & Kitchen,3,20,1983.6,18,0,94.99,0
CUST-1294,19,Male,2,2,Home & Kitchen,1,1,100.79,19,1,65.1,1
CUST-1295,18,Male,1,49,Home & Kitchen,4,20,1510.67,120,1,302.18,1
CUST-1296,65,Female,3,9,Fashion,3,3,254.56,40,0,362.67,0
CUST-1297,29,Male,1,28,Home & Kitchen,4,15,1460.24,13,0,408.1,0
CUST-1298,22,Male,3,31,Beauty & Care,5,18,1358.96,46,0,203.1,0
CUST-1299,54,Male,1,60,Fashion,2,29,3039.94,14,0,52.94,0
CUST-1300,49,Male,2,34,Beauty & Care,3,23,1226.24,4,0,265.78,0
CUST-1301,26,Male,1,56,Fashion,5,18,1134.61,22,0,57.13,0
CUST-1302,58,Male,3,15,Electronics,4,8,428.74,48,1,91.39,1
CUST-1303,52,Female,2,48,Electronics,3,18,1168.94,16,0,197.01,0
CUST-1304,36,Male,1,25,Fashion,5,10,763.81,71,1,246.73,1
CUST-1305,65,Male,1,36,Fashion,1,20,2317.45,17,0,175.76,0
CUST-1306,33,Male,1,8,Beauty & Care,5,10,862.43,15,0,311.84,0
CUST-1307,20,Male,1,9,Electronics,1,2,92.94,180,1,74.91,1
CUST-1308,37,Female,3,58,Beauty & Care,3,29,1245.29,23,0,115.06,0
CUST-1309,41,Female,1,58,Beauty & Care,5,34,2465.68,57,0,362.87,0
CUST-1310,50,Male,2,37,Electronics,2,12,1320.38,57,0,113.96,0
CUST-1311,41,Male,2,48,Beauty & Care,3,19,2414.7,91,0,337.9,1
CUST-1312,69,Male,2,45,Books & Media,3,19,708.26,3,0,74.61,0
CUST-1313,28,Female,1,39,Home & Kitchen,5,20,1923.41,11,0,233.32,0
CUST-1314,66,Female,1,32,Home & Kitchen,4,19,1385.93,51,0,129.83,0
CUST-1315,25,Female,2,58,Books & Media,4,27,2032.38,28,1,99.34,0
CUST-1316,53,Male,3,52,Fashion,3,23,1220.67,28,0,305.16,0
CUST-1317,55,Female,1,17,Electronics,4,13,1019.18,6,1,467.75,0
CUST-1318,57,Male,1,35,Beauty & Care,3,19,982.77,11,0,74.65,0
CUST-1319,37,Male,2,37,Fashion,3,19,1463.46,25,0,239.7,0
CUST-1320,52,Male,3,19,Fashion,4,13,1552.82,11,0,368.39,0
CUST-1321,65,Male,1,44,Electronics,3,15,1559.06,8,0,258.21,0
CUST-1322,42,Female,1,29,Home & Kitchen,1,10,1424.13,3,1,412.92,1
CUST-1323,52,Female,3,59,Electronics,1,29,2922.93,5,0,130.84,0
CUST-1324,42,Male,1,7,Books & Media,1,7,631.65,51,0,481.82,1
CUST-1325,46,Female,1,28,Electronics,5,20,2031.74,44,0,223.32,0
CUST-1326,35,Other,2,9,Electronics,3,5,308.63,1,0,203.71,0
CUST-1327,63,Female,3,28,Fashion,4,13,291.45,7,1,443.57,0
CUST-1328,35,Female,1,6,Electronics,3,6,653.31,28,1,303.74,1
CUST-1329,19,Female,2,29,Home & Kitchen,2,14,435.96,13,0,282.4,0
CUST-1330,52,Other,2,58,Beauty & Care,3,21,2491.61,60,0,377.14,0
CUST-1331,33,Female,2,17,Beauty & Care,4,14,1505.34,53,0,310.93,0
CUST-1332,58,Male,2,16,Electronics,4,4,238.06,77,0,123.13,1
CUST-1333,53,Male,2,23,Electronics,5,11,791.09,28,1,353.39,1
CUST-1334,50,Female,1,31,Beauty & Care,4,21,1777.73,15,0,110.06,0
CUST-1335,21,Male,2,3,Books & Media,3,3,172.0,32,0,412.64,1
CUST-1336,50,Female,2,21,Fashion,4,13,1315.8,3,0,495.38,0
CUST-1337,31,Male,2,26,Fashion,5,17,1765.62,1,1,219.82,0
CUST-1338,38,Male,3,36,Electronics,4,15,625.67,1,0,250.14,0
CUST-1339,65,Male,1,42,Beauty & Care,1,20,1206.13,18,0,70.9,0
